브랜드,파트넘버,제품명,스팩, 총재고 
,F04RS270J1,RESISTOR,WR04X270JTL (1005 J 27R),7884
,F04RS273J1,RESISTOR,WR04X273JTL (1005 J 27K),7289
,F04RS27R9F,RESISTOR,1005 F 24.9R,9951
,F04RS2R7J1,RESISTOR,WR04X2R7JTL (1005 J 2.7R),8117
,F04RS3001F,RESISTOR,1005 F 3K,5937
,F04RS3002F,RESISTOR,1005 F 30K,6578
,F04RS3003F,RESISTOR,1005 F 300K,9793
,F04RS302J1,RESISTOR,WR04X302JTL (1005 J 3K),8461
,F04RS3161F,RESISTOR,WR04X3161FTL (1005 F 3.16K),9690
,F04RS3242F,RESISTOR,1005 F 32.4K,9898
,F04RS3301F,RESISTOR,WR04X3301FTL (1005 F 3.3K),9956
,F04RS3321F,RESISTOR,1005 F 3.32K,9972
,F04RS332J1,RESISTOR,1005 J 3.3K,16942
,F04RS33R2F,RESISTOR,1005 F 33.2R,9874
,F04RS3482F,RESISTOR,1005 F 34.8K,9981
,F04RS3572F,RESISTOR,1005 F 35.7K,9984
,F04RS3601F,RESISTOR,WR04X3601FTL (1005 F 3.6K),10000
,F04RS3602F,RESISTOR,WR04X3602FTL (1005 F 36K),8954
,F04RS3603F,RESISTOR,1005 F 360K,9964
,F04RS3652F,RESISTOR,WR04X3652FTL (1005 F 36.5K),9343
,F04RS3833F,RESISTOR,1005 F 383K,9960
,F04RS3901F,RESISTOR,1005 F 3.9K,7958
,F04RS3903F,RESISTOR,WR04X3903FTL (1005 F 390K),9909
,F04RS392J1,RESISTOR,WR04X392JTL (1005 J 3.9K),7314
,F04RS4020F,RESISTOR,WR04X4020FTL (1005 F 402R),9839
,F04RS4022F,RESISTOR,1005 F 40.2K,9952
,F04RS4301F,RESISTOR,1005 F 4.3K,9981
,F04RS4302F,RESISTOR,WR04X4302FTL (1005 F 43K),9908
,F04RS43R0F,RESISTOR,1005 F 43R,9934
,F04RS4420F,RESISTOR,1005 F 442R,9961
,F04RS4422F,RESISTOR,WR04X4422FTL (1005 F 44.2K),8934
,F04RS4641F,RESISTOR,1005 F 4.64K,9985
,F04RS4703F,RESISTOR,WR04X4703FTL (1005 F 470K),9109
,F04RS474J1,RESISTOR,WR04X474JTL (1005 J 470K),8877
,F04RS4750F,RESISTOR,WR04X4750FTL (1005 F 475R),7889
,F04RS47R0F,RESISTOR,1005 F 47R,9616
,F04RS4871F,RESISTOR,WR04X4871FTL (1005 F 4.87K),9772
,F04RS4990F,RESISTOR,WR04X4990FTL (1005 F 499R),6569
,F04RS4R99F,RESISTOR,1005 F 4.99R,9952
,F04RS5102F,RESISTOR,1005 F 51K,9965
,F04RS5103F,RESISTOR,WR04X5103FTL (1005 F 510K),9697
,F04RS513J1,RESISTOR,WR04X513JTL (1005 J 51K),9371
,F04RS514J1,RESISTOR,WR04X514JTL (1005 J 510K),9436
,F04RS5362F,RESISTOR,WR04X5362FTL (1005 F 53.6K),9151
,F04RS5601F,RESISTOR,WR04X5601FTL (1005 F 5.6K),8977
,F04RS5622F,RESISTOR,1005 F 56.2K,7402
,F04RS6040F,RESISTOR,1005 F 604R,9890
,F04RS6042F,RESISTOR,1005 F 60.4K,9987
,F04RS6191F,RESISTOR,WR04X6191FTL (1005 F 6.19K),9907
,F04RS6192F,RESISTOR,WR04X6192FTL (1005 F 61.9K),9756
,F04RS6202F,RESISTOR,1005 F 62K,9968
,F04RS6491F,RESISTOR,WR04X6491FTL (1005 F 6.49K),8765
,F04RS6800F,RESISTOR,WR04X6800FTL (1005 F 680R),8465
,F04RS682J1,RESISTOR,WR04X682JTL (1005 J 6.8K),9971
,F04RS6981F,RESISTOR,WR04X6981RTL (1005 F 6.98K),9369
,F04RS6984F,RESISTOR,1005 F 6.98M,9714
,F04RS7322F,RESISTOR,1005 F 73.2K,9890
,F04RS7500F,RESISTOR,WR04X7500FTL (1005 F 750R),9695
,F04RS7502F,RESISTOR,1005 F 75K,9951
,F04RS752J1,RESISTOR,WR04X752JTL (1005 J 7.5K),6772
,F04RS753J1,RESISTOR,WR04X753JTL (1005 J 75K),8162
,F04RS7872F,RESISTOR,1005 F 78.7K,9957
,F04RS8061F,RESISTOR,1005 F 8.06K,9763
,F04RS8062F,RESISTOR,1005 F 80.6K,9951
,F04RS80R6F,RESISTOR,1005 F 80.6R,5892
,F04RS8201F,RESISTOR,WR04X8201FTL (1005 F 8.2K),9706
,F04RS821J1,RESISTOR,1005 J 820R,9342
,F04RS822J1,RESISTOR,WR04X822JTL (1005 J 8.2K),9655
,F04RS824J1,RESISTOR,WR04X824JTL (1005 J 820K),8399
,F04RS8661F,RESISTOR,1005 F 8.66K,9883
,F04RS8872F,RESISTOR,WR04X8872FTL (1005 F 88.7K),8835
,F04RS9101F,RESISTOR,WR04X9101FTL (1005 F 9.1K),689
,F04RS9102F,RESISTOR,WR04X9102FTL (1005 F 91K),8871
,F04RS9310F,RESISTOR,WR04X9310FTL (1005 F 931R),5378
,F04RS9312F,RESISTOR,WR04X9312FTL (1005 F 93.1K),18279
,F04SC414HG,Super capacitors,XH414HG-IV01E,3842
,F04SWS1201,SWITCH,YSS-1201S-2mm,692
,F04TA105KL,CHIP TANTAL,TAJA105K035RNJ  (A 1uF K 35V),91
,F04TRAO680,TR,AO6800,3038
,F04TRBS138,TR,BSS138,700
,F04TRL3904,TR,LMBT3904LT1G(재고 소진후 MMBT3904LT1G 사용),2056
,F04TV226KB,CHIP TANTAL,TAJV226K050RNJ (V 22UF K 50V),487
,F04V16180B,CHIP VARISTOR,LVS16180B750,3585
,F04VICVS01,CHIP VARISTOR,ICVS0518270FR,14108
,F04X27M503,X-TAL,S5032A-027000-T18-DYD-YDA,306
,F04XCM2327,X-TAL,CM200C32768DZBT(MC-306 32.768K-E3:ROHS (6pF)동일자재),458
,F05I1G14DB,IC,SN74LVC1G14DBVR,944
,F05I304R7M,CHIP INDUCTOR,SPH7030-4R7M,1284
,F05I306R8M,CHIP INDUCTOR,SPH7030-6R8M,1478
,F05I85RS16,IC,MB85RS16NPNF-G-JNERE1,989
,F05I8G1GES,IC,KLM8G1GESD-B03Q,400
,F05IB251MR,IC,XC6220B251MR,37
,F05IE05U06,IC,TPD4E05U06DQAR,2482
,F05ILM324D,IC,LM324D,1207
,F05IM1G00D,IC,MC74HC1G00DTT1G,2047
,F05IS7828E,IC,ADS7828EIPWRQ1,1479
,F05ITR4101,IC,NTR4101PT1G,9000
,F07BOWASM3,BOLT WASHER,스프링와샤-NI [M3],2000
,F07BOWSSM3,BOLT WASHER,평와샤-NI [M3x6],2000
,F07CC222KY,DIP Ceramic Disc Capacitors,CK45-B3AD222KYGNA/TDK,120
,F07CN10440,DIP CONNECTOR,54104-4031(MOLEX),990
,F07CN16921,DIP CONNECTOR,TB09-03-196-6921,18
,F07CN303VW,DIP CONNECTOR,YAW396-03V,351
,F07CN37504,DIP CONNECTOR,53375-0410,94
,F07CN6702B,DIP CONNECTOR,5267-02-BLUE,795
,F07CN6702G,DIP CONNECTOR,5267-02-GREEN,803
,F07CN6702R,DIP CONNECTOR,5267-02-RED,788
,F07CN6702V,DIP CONNECTOR,5267-02-VIOLET,803
,F07CN6702Y,DIP CONNECTOR,5267-02-YELLOW,801
,F07CNJ325C,DIP CONNECTOR,PJ-325C (GREEN),22
,F07CNPJ359,DIP CONNECTOR,PJ-359(3.5),23
,F07CNVHD19,DIP CONNECTOR,RAVHD19 / ZT-HMA19F8909-001,27
,F07CNXW115,DIP CONNECTOR,FX-W-115,20
,F07FC104KS,DIP FILM CAPACITOR,MPE AC250V 104K 10S,115
,F07LSEC120,LED MODULE,SEC-0120,40
,F07LSEC123,LED MODULE,SEC-0123,40
,F07PHA503A,DIP PIN HEADER,GRPB031VWVN-RC (A5-3PA-1.27DSA),3
,F07PHA508A,DIP PIN HEADER,GRPB081VWVN-RC (A5-8PA-1.27DSA),2
,F07PHA510A,DIP PIN HEADER,GRPB101VWVN-RC (A5-10PA-1.27DSA),2
,F07R1W101J,DIP RESISTOR,1W J 100R,47
,F07THPRG21,RESISTOR,PRG21BC4R7MM1RA(2012 M 4.7R),7680
,F07V07D470,DIP VARISTOR,ERZV07D330,495
,F08BOM3X12,BOLT,PAN(+)-SUS [M3x12],2000
,I0440H100H,INDUCTOR,WPN4020H100MT (SRN4018-100M 대치),2236
,I0440H4R7M,INDUCTOR,WPN4020H4R7MT (SRN4018-4R7M 대치),256
,I0440H6R8M,INDUCTOR,WPN4020H6R8MT (SRN4018-6R8M 대치),764
,I04B221SN1,BEAD,BLM21PG221SN1D,10579
,I04BJ300A1,BEAD,MPZ1608S300A,3438
,I04BJ601T1,BEAD,HCB1608KF-601T20,10105
,I04CB226KA,CAPACITOR,CL32A226KAJNNN(3225 22uF K 25V X5R),8945
,I04CN1104B,CONNECTOR,DS1104-B60SRS (MUSB-05S-B+CT-TR),5582
,I04CNHRG40,CONNECTOR,05002HR-40N2(G),1700
,I04CNHRG50,CONNECTOR,05002HR-50N2(G),1958
,I04CP106KA,CAPACITOR,CL21A106KAYNNN(2012 10uF K 25V X5R),11842
,I04CP224FB,CAPACITOR,0805B224J500 (2012 220nF J 50V X7R),3185
,I04CS060CB,CAPACITOR,CL05C060CB5NNN(1005 6pF C 50V C0G),13216
,I04CS104KA,CAPACITOR,CL05B104KA5NNN(1005 100nF K 25V X7R),52725
,I04CS105KA,CAPACITOR,CL05A105KA5NNN(1005 1uF K 25V X5R),16610
,I04D16CSF1,DIODE,DDZ16CSF,3920
,I04D4148W1,DIODE,1N4148W-7-F,2689
,I04D4750A1,DIODE,1SMA4750A -> SMA4750A (KD),3376
,I04D5819HW,DIODE,1N5819HW-7-F,3880
,I04D7V5CSF,DIODE,DDZ7V5CSF,3913
,I04DAP3036,DIODE,AP3036BKTR-G1,6945
,I04DBAT54S,DIODE,BAT54S,4893
,I04DSD05C1,DIODE,SD05C-LF-T7 (PSD05C-LF-T7 대치),3583
,I04DSS14A1,DIODE,SS14,10112
,I04DSS34A1,DIODE,SS34,6911
,I04F900TF1,FILTER,SDCW2012-2-900TF (ACM2012-900-2P-T002 대치),5215
,I04FJ03000,FUSE,MFU0603FF03000,2543
,I04LJ036A1,CHIP LED,BL-HY036A-AV-TRB(1608 YELLOW),3494
,I04LJ136A1,CHIP LED,BL-HS136A (단종),1395
,I04N18100M,INDUCTOR,SRN4018-100M,12999
,I04N18220M,INDUCTOR,SRN4018-220M,2198
,I04N184R7M,INDUCTOR,SRN4018-4R7M,13978
,I04N186R8M,INDUCTOR,SRN4018-6R8M,12998
,I04NSC101M,INDUCTOR,SC1260S-101M,1977
,I04RA470J1,RESISTOR ARRY ,WA04X470JTL(J 47R),19749
,I04RJ1201F,RESISTOR,WR06X1201FTL (1608 F 1.2K),1924
,I04RJ12R0F,RESISTOR,WR06X12R0FTL (1608 F 12R),3663
,I04RJ1302F,RESISTOR,WR06X1302FTL (1608 F 13K),1924
,I04RJ1R20F,RESISTOR,1608 F 1.2R,3264
,I04RJ24R0F,RESISTOR,WR06X24R0FTL (1608 F 24R),3668
,I04RJ2R40F,RESISTOR,WR06W2R40FTL (1608 F 2.4R),7361
,I04RJ4301F,RESISTOR,WR06X4301FTL (1608 F 4.3K),3888
,I04RJ5601F,RESISTOR,WR06X5601FTL (1608 F 5.6K),7402
,I04RJ5R10F,RESISTOR,WR06W5R10FTL (1608 F 5.1R),4667
,I04RS1212J,RESISTOR,WR04X1212FTL (1005 F 12.1K),3749
,I04RS221J1,RESISTOR,WR04X221JTL (1005 J 220R),13077
,I04RS393J1,RESISTOR,WR04X393JTL (1005 J 39K),11520
,I04RS470J1,RESISTOR,WR04X470JTL (1005 J 47R),14483
,I04RS4R7J1,RESISTOR,WR04X4R7JTL ( 1005 J 4.7R),16552
,I04SWY1502,SWITCH,YST-1502 / 1131-2 (JIANFU),3664
,I04TB107MQ,TANTAL,TAJB107M006RNJ(B 100uF K 6.3V) ,5296
,I04TD1550V,CHIP TANATL,T491D156K035AT / 293D156X9035D2TE3 (15uF 35V D),700
,I04TD22010,CHIP TANATL,293D227X9010D2TE3 (220uF 10V D),199
,I04VA651K3,CHIP VARISTOR,TVM3B390K651,4063
,I04X12MSX3,X-TAL,12MHZ(SX-32),2601
,I05I1117GS,IC,LM1117GS-1.2,4146
,I05I1541DJ,IC,MP1541DJ-LF-Z,3024
,I05I2105LT,IC,NUP2105LT1G,4244
,I05I2306AY,IC,PAM2306AYPKE,4642
,I05I2576R1,IC,LM2576R-5.0,793
,I05I29N01H,IC,W29N01HV,2336
,I05I30F71I,IC,N9H30F71IEC,1974
,I05I3431SD,IC,TPS3431SDRBR (TI),3733
,I05I5333BS,IC,FAN5333BSX,3000
,I05I6V11M2,IC,ESDALC6V1-1M2,9148
,I05IP2576L,IC,P2576L-5.0-TQ5-R (LM2576R-5.0 대치),2596
,I05IXC6131,IC,XC6131A161MR-G,4184
,I05S34ML01,IC,S34ML01G200TFI000 (W29N01HVE 대치),19
,I07C02SRDG,CONNECTOR,PH01-02SRD-G / A2-2PA-DS D,2467
,I07C03SRDG,CONNECTOR,PH01-03SRD-G / A2-3PA-2.54DS(ANGLE),474
,I07CN0104R,DIP CONNECTOR,USB01-04R-N-001E-BK,472
,I07CN39604,DIP CONNECTOR,YAW396-04V,4306
,I07EG10735,DIP ELEC CAPACITOR,KMG 100uF 35V(6.3*11) / C2,3081
,I07EG47710,DIP ELEC CAPACITOR,KMG 470uF 10V(6.3*11) / C3,1966
